Item,Quantity Needed,Quantity of listing needed,Unit cost,Total Cost,Link,Notes
DM556,6,6,$12.18,$73.08,https://www.aliexpress.us/item/3256811887596530.html?spm=a2g0o.productlist.main.31.4cd476b8nvZG3m&algo_pvid=e1e0e0a2-c66f-4b78-9b35-7595748bbfdf&algo_exp_id=e1e0e0a2-c66f-4b78-9b35-7595748bbfdf-30&pdp_ext_f=%7B%22order%22%3A%222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.85%215.82%21%21%216.85%215.82%21%402101e2b217815671276026135e3112%2112000057448269242%21sea%21US%214342193870%21X%211%210%21n_tag%3A-29919%3Bd%3Aebd7ba89%3Bm03_new_user%3A-29895&curPageLogUid=sroUg97xFsjK&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012073911282%7C_p_origin_prod%3A,Ive seen some sales for this periodically so think i can get the total price down to around 60$
Nema 23 76mm,4,4,$7.66,$30.64,https://www.omc-stepperonline.com/used-nema-23-bipolar-1-8deg-1-9nm-269-06oz-in-2-8a-57x57x76mm-4-wires-23hs30-2804s-used,
Nema 17 ,2,2,$5.78,$11.56,https://www.omc-stepperonline.com/used-dual-shaft-nema-17-bipolar-0-9deg-44ncm-62-3oz-in-1-68a-42x42x48mm-4-wires-w-0-085m-cable-17hm19-1684d-used,Owned
Esp32 S3,1,1,$9.79,$9.79,https://www.amazon.com/AITRIP-ESP32-S3-DevKitC-1-N8R2-Development-Integrates-Functions/dp/B0BVVGNBB3/ref=sr_1_13?crid=NRRJCN1I2PL0&dib=eyJ2IjoiMSJ9.atGzvnJEfL1wlSsHpy-nOAhkBG7qOJN2LvVGvGyuZIZyGrriN4WP2B1D9KY_vwyBqUME827Lf9aAAqRTLL20zqfgJf1iXvbkXkqhVQavKwBpg8n7rpo0tYOu_oCy91dD63idVCOsA41vJlmn2WbxkoR8rSdW61BcL9YbS3_Kom5iSw0gJQNgqt1f_Xo8C4weNkRJHcIxsglyyYuoM5M8VfnV5xrkXlKgb6U68V3m5iQ.Q_yu1rZHYDJAGrZOPRImNuUrqA4RqryBD8BxrwQ5jcc&dib_tag=se&keywords=esp32+s3&qid=1781657139&sprefix=esp32+%2Caps%2C255&sr=8-13,Owned
16 gauge wire 200ft,1,1,$16.99,$16.99,https://www.amazon.com/dp/B0FHK6RW88/ref=twister_B0GSVT17V4?_encoding=UTF8&th=1,Owned
22 gauge wide,1,1,$4.97,$4.97,https://www.amazon.com/Flexible-Electrical-Extension-Stranded-Automotive/dp/B0D12SP8JT/ref=sr_1_4?crid=P6XQU63PZZFK&dib=eyJ2IjoiMSJ9.9fZp87645G5m50NfmOgUybeKwITQbyr0nE_v3nh-09eEmMuBqM_MMhBB5NHQdPWZvvQKzVSZcEOVLI9Cb36uNwcBjTXo7VFZZZ4X9K4EDTjfBwVuR-KzpPOFSV3ag5PyM3XaNXlWVpBINCh5BWy_VS-ZyvrFbGyFDCTvgmVjM4CZhcFurXjunFDY472KsXEZwOOk-anwe2z4a2FRMNu8jvDhYAbefy7fIxM4-wjE1L-jzHkSAuZWsbwy1wGfM2zMHwD__vvmw3v3iY-fcc6_0FqwEZyT30rZu_qetQ6TSZ8.dNhe_zCbBJgZeC2HoLyMEunOI0-NEaqxVf06WznqQDQ&dib_tag=se&keywords=22%2Bgauge%2Bwire&qid=1781657368&s=industrial&sprefix=22%2Bgauge%2Bwir%2Cindustrial%2C190&sr=1-4&th=1,Owned
600 watt 48v psu ,1,1,$36.99,$36.99,https://a.co/d/06Yt27PZ,
,,,,,,
625x5Mx15 timing belt,6,6,$6.78,$40.68,https://www.vbeltsupply.com/products/625-5m-15-synchronous-htd-timing-belt,
350-5M-15,2,2,$4.27,$8.54,https://www.vbeltsupply.com/products/350-5m-15-synchronous-htd-timing-belt,
560-8M-15,3,3,$7.15,$21.45,https://www.vbeltsupply.com/products/560-8m-15-synchronous-timing-belt,
150-5M-15,1,1,$8.62,$8.62,https://www.bbman.com/catalog/product/150-5m-15,
423-3M-15,1,1,$3.97,$3.97,https://www.vbeltsupply.com/products/423-3m-15,
231-3M-15,1,1,$2.44,$2.44,https://www.vbeltsupply.com/products/231-3m-15,
585-3M-15,1,1,$5.48,$5.48,https://www.vbeltsupply.com/products/585-3m-15,
543-3M-9,2,2,$1.90,$3.80,https://vbeltoutlet.com/product/htd-543-3m-timing-belt-replacement/,
543-3M-15,2,2,$2.89,$5.78,https://vbeltoutlet.com/product/htd-543-3m-timing-belt-replacement/,
300-3m-9,2,2,$1.90,$3.80,https://www.vbeltsupply.com/products/300-3m-9-d-d-synchronous-htd-timing-belt,
,,,,,,
6801 zz,70,4,$10.99,$43.96,https://www.amazon.com/Pnzxi-20pcs-6801ZZ-12x21x5mm-Bearings/dp/B09M6Z92M7/ref=sr_1_7?dib=eyJ2IjoiMSJ9.9jT-PwiMBo32MrCMEIrGMVdBY6TYa-1cU2pyN4KfkuxGcZ0ySSjmKFA-DVJBQQvnExChlU_addoH84xj9xeFh003lnrwsdvFDZMfIHvuNoG3wyjn03JFILRf4iE9_PbMAR14KCDE5eQxBsQR5y9EiIgQ6p4CB_4WKFxzYxlALrnREOX4gHY6qPihM3BA4zCnziB4XV74PbWJt7A4_umWUo5uydeReQeHAqnpYjII2vk.swqeRQipl5IhVs82D8IlPZQNp8LoAqGi8J-Sq5GKsGU&dib_tag=se&keywords=6801+bearing&qid=1781566346&sr=8-7,Considering buying from alibaba if tarrifs ever go down
