Component,Total Quantity
1.PRT,2
3060.PRT,2
4030.PRT,2
6801ZZ_BALL.PRT,884
6801ZZ_INNER_RING.PRT,68
6801ZZ_OUTER_RING.PRT,68
6801ZZ_SHIELD1.PRT,68
6801ZZ_SHIELD2.PRT,68
6808_2RS.PRT,4
6904ZZ_BALL.PRT,26
6904ZZ_INNER_RING.PRT,2
6904ZZ_OUTER_RING.PRT,2
6904ZZ_SHIELD1.PRT,2
6904ZZ_SHIELD2.PRT,2
694ZZ_BALL.PRT,336
694ZZ_INNER_RING.PRT,42
694ZZ_OUTER_RING.PRT,42
694ZZ_SHIELD1.PRT,42
694ZZ_SHIELD2.PRT,42
6_ESP-32_PREDETERMINADO.PRT,1
ADAPTER-ROTATOR-BOTOR.PRT,1
BASE-SIDE-2.PRT,2
BASE-SIDE.PRT,2
BASE-TOP.PRT,2
BASE.PRT,1
BBLOCK.PRT,4
BIG-ASS-BEARING-BLOCK.PRT,2
BIG-ASS-PIPE.PRT,1
BODY1.PRT,4
BODY2.PRT,4
BODY3.PRT,4
BODY4.PRT,4
BODY5.PRT,4
BOTTOM-DRIVE.PRT,1
CAP-DRIVE.PRT,1
DIFF-RETAINER.PRT,1
DIFFERENTIAL-BASE.PRT,1
DRIVE-TOP.PRT,1
DRIVER.PRT,6
IDLER-COVER.PRT,14
KICAD-ESP-WROOM-32_PREDETERMINA.PRT,1
LID-TOP.PRT,2
LID-TOP_.PRT,2
MICRO_USB_47346-0001.PRT,1
NEMA_17_MOTOR.PRT,2
PARA-20-ROD_166.PRT,1
PARA-4MM-ROD_34.PRT,10
PARA-4MM-ROD_95.PRT,2
PARA-ROD-12_100.PRT,1
PARA-ROD-12_103.PRT,2
PARA-ROD-12_154.PRT,1
PARA-ROD-12_45P5.PRT,1
PARA-ROD-12_62.PRT,2
PARA-ROD-12_63.PRT,1
PARAMETRIC-BELT.PRT,6
PARAMETRIC-BELT_INST.PRT,2
PSU.PRT,1
PULLEY-60-12MM.PRT,2
PULLEY-60-HOLES-TOP.PRT,2
PULLEY-60-HOLES.PRT,2
PULLEY-PARA-NO-HOLE-8M-50.PRT,2
PULLEY-PARA-NO-HOLE_20-BIG.PRT,1
PULLEY-PARA-NO-HOLE_20.PRT,1
PULLEY-PARA-NO-HOLE_21.PRT,1
PULLEY-PARA-NO-HOLE_22.PRT,2
PULLEY-PARA-NO-HOLE_28.PRT,1
PULLEY-PARA-NO-HOLE_3M-24.PRT,2
PULLEY-PARA-NO-HOLE_3M-48.PRT,2
PULLEY-PARA-NO-HOLE_45.PRT,1
PULLEY-PARA-NO-HOLE_66.PRT,1
PULLEY-PARA-NO-HOLE_8M-20-BIG.PRT,1
PULLEY-PARA-NO-HOLE_8M-20.PRT,2
PULLEY-PARA-NO-HOLE_8M-52.PRT,1
PULLEY30-SHAFT.PRT,2
PULLY-20-12MM.PRT,2
ROD.PRT,2
ROD2.PRT,2
ROD3.PRT,2
ROTATOR-BASE.PRT,1
SPANNER3.PRT,1
SPINNY-THING.PRT,1
THICC-WRIST-PULLET.PRT,2
THRUST-BEARING.PRT,1
WRIST.PRT,1
