Part Name,Quantity,Group,Single Length (mm),Single Volume (cm3),Single Mass (g),Total Length (mm),Total Volume (cm3),Total Mass (g)
1,2,"Standard (4w,35%gyroid)",311614.67,749.52,929.41,623229.34,1499.04,1858.82
ROD,2,"Standard (4w,35%gyroid)",4367.21,10.5,13.03,8734.42,21.0,26.06
PULLEY-60-HOLES,2,"Pulleys/Extrusions (8w,40%honeycomb)",58651.73,141.07,174.93,117303.46,282.14,349.86
4030,2,"Pulleys/Extrusions (8w,40%honeycomb)",25496.3,61.33,76.04,50992.6,122.66,152.08
PULLEY-60-HOLES-TOP,2,"Pulleys/Extrusions (8w,40%honeycomb)",68018.2,163.6,202.87,136036.4,327.2,405.74
3060,2,"Pulleys/Extrusions (8w,40%honeycomb)",68813.27,165.52,205.24,137626.54,331.04,410.48
PULLY-20-12MM,2,"Pulleys/Extrusions (8w,40%honeycomb)",3773.59,9.08,11.25,7547.18,18.16,22.5
PULLEY-60-12MM,2,"Pulleys/Extrusions (8w,40%honeycomb)",36713.64,88.31,109.5,73427.28,176.62,219.0
PULLEY30-SHAFT,2,"Pulleys/Extrusions (8w,40%honeycomb)",9639.09,23.18,28.75,19278.18,46.36,57.5
LID-TOP,2,"Standard (4w,35%gyroid)",107200.25,257.85,319.73,214400.5,515.7,639.46
LID-TOP_,2,"Standard (4w,35%gyroid)",106589.78,256.38,317.91,213179.56,512.76,635.82
SPANNER3,1,"Standard (4w,35%gyroid)",224844.58,540.81,670.61,224844.58,540.81,670.61
BOTTOM-DRIVE,1,"Standard (4w,35%gyroid)",21564.72,51.87,64.32,21564.72,51.87,64.32
ROTATOR-BASE,1,"Standard (4w,35%gyroid)",293439.09,705.8,875.2,293439.09,705.8,875.2
DRIVE-TOP,1,"Standard (4w,35%gyroid)",161319.59,388.02,481.14,161319.59,388.02,481.14
PULLEY-PARA-NO-HOLE_21,1,"Pulleys/Extrusions (8w,40%honeycomb)",1477.05,3.55,4.41,1477.05,3.55,4.41
PULLEY-PARA-NO-HOLE_45,1,"Pulleys/Extrusions (8w,40%honeycomb)",7107.03,17.09,21.2,7107.03,17.09,21.2
PULLEY-PARA-NO-HOLE_28,1,"Pulleys/Extrusions (8w,40%honeycomb)",3176.14,7.64,9.47,3176.14,7.64,9.47
PULLEY-PARA-NO-HOLE_66,1,"Pulleys/Extrusions (8w,40%honeycomb)",14127.94,33.98,42.14,14127.94,33.98,42.14
PULLEY-PARA-NO-HOLE_20,1,"Pulleys/Extrusions (8w,40%honeycomb)",4263.03,10.25,12.71,4263.03,10.25,12.71
CAP-DRIVE,1,"Standard (4w,35%gyroid)",51629.84,124.18,153.99,51629.84,124.18,153.99
PULLEY-PARA-NO-HOLE_20-BIG,1,"Pulleys/Extrusions (8w,40%honeycomb)",3467.54,8.34,10.34,3467.54,8.34,10.34
DIFFERENTIAL-BASE,1,"Standard (4w,35%gyroid)",108423.88,260.79,323.38,108423.88,260.79,323.38
PULLEY-PARA-NO-HOLE_3M-24,2,"Pulleys/Extrusions (8w,40%honeycomb)",1425.73,3.43,4.25,2851.46,6.86,8.5
PULLEY-PARA-NO-HOLE_3M-48,2,"Pulleys/Extrusions (8w,40%honeycomb)",5329.68,12.82,15.9,10659.36,25.64,31.8
PULLEY-PARA-NO-HOLE_22,2,"Pulleys/Extrusions (8w,40%honeycomb)",4989.95,12.0,14.88,9979.9,24.0,29.76
THICC-WRIST-PULLET,2,"Pulleys/Extrusions (8w,40%honeycomb)",7869.05,18.93,23.47,15738.1,37.86,46.94
WRIST,1,"Standard (4w,35%gyroid)",23087.09,55.53,68.86,23087.09,55.53,68.86
PARA-4MM-ROD_95,2,"Standard (4w,35%gyroid)",360.46,0.87,1.08,720.92,1.74,2.16
IDLER-COVER,14,"Standard (4w,35%gyroid)",219.29,0.53,0.65,3070.06,7.42,9.1
DIFF-RETAINER,1,"Standard (4w,35%gyroid)",8213.39,19.76,24.5,8213.39,19.76,24.5
SPINNY-THING,1,"Standard (4w,35%gyroid)",29601.45,71.2,88.29,29601.45,71.2,88.29
BBLOCK,4,"Standard (4w,35%gyroid)",4399.83,10.58,13.12,17599.32,42.32,52.48
PULLEY-PARA-NO-HOLE_8M-20,2,"Pulleys/Extrusions (8w,40%honeycomb)",9607.58,23.11,28.66,19215.16,46.22,57.32
PULLEY-PARA-NO-HOLE_8M-52,1,"Pulleys/Extrusions (8w,40%honeycomb)",53324.67,128.26,159.04,53324.67,128.26,159.04
PULLEY-PARA-NO-HOLE-8M-50,2,"Pulleys/Extrusions (8w,40%honeycomb)",52492.5,126.26,156.56,104985.0,252.52,313.12
PULLEY-PARA-NO-HOLE_8M-20-BIG,1,"Pulleys/Extrusions (8w,40%honeycomb)",11053.4,26.59,32.97,11053.4,26.59,32.97
ADAPTER-ROTATOR-BOTOR,1,"Standard (4w,35%gyroid)",465711.98,1120.17,1389.01,465711.98,1120.17,1389.01
BIG-ASS-BEARING-BLOCK,2,"Standard (4w,35%gyroid)",63893.58,153.68,190.57,127787.16,307.36,381.14
